New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:3520K; Loan Amount:300K; Loan Term:300; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:No; Dependents:2; Graduate:Not Graduate; Applicant Income:10000K; Loan Amount:300000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Male; Married:No; Dependents:2; Graduate:Not Graduate; Applicant Income:0K; Loan Amount:300000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Male; Married:No; Dependents:3+; Graduate:Not Graduate; Applicant Income:0K; Loan Amount:300000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Rural; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Female; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:10000K; Loan Amount:300000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:10000K; Loan Amount:100000K; Loan Term:12; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Female; Married:Yes; Dependents:3+; Graduate:Graduate; Applicant Income:10000K; Loan Amount:1000000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Not Graduate; Applicant Income:15000K; Loan Amount:200000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Urban; Occupation:No; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:100000K; Loan Term:12; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:20000K; Loan Amount:200000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:No; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:20000K; Loan Amount:200000K; Loan Term:180; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:20000K; Loan Amount:300000K; Loan Term:480; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:20000K; Loan Amount:20000K; Loan Term:360; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:20000K; Loan Amount:300000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:50000K; Loan Amount:100000K; Loan Term:12; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:100000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Not Graduate; Applicant Income:20000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Graduate; Applicant Income:20000K; Loan Amount:100000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:2; Graduate:Graduate; Applicant Income:30000K; Loan Amount:100000K; Loan Term:12; Credit History Above Guideline:Yes; Property Area:Urban; Occupation:Yes; Outcome: APPROVED; 
New Input:; Gender:Male; Married:Yes; Dependents:3+; Graduate:Graduate; Applicant Income:20000K; Loan Amount:300000K; Loan Term:36; Credit History Above Guideline:No; Property Area:Urban; Occupation:Yes; Outcome: NOT APPROVED; 
